index,scene_id,method,selection_signature,pose_reused,matches,inliers,inlier_ratio,epi_precision_1px,epi_precision_3px,rotation_error_deg,translation_error_deg,pose_error_deg,selection_ms,pose_ms,selector_target_ratio,selector_target_matches,selector_selected_matches,selector_mean_confidence,selector_coverage0,selector_coverage1,selector_selected_coverage0,selector_selected_coverage1,selector_rescued
1,scene0707_00,Top-95%,5aabcc2dc2845ed4,False,249,129,0.5180722891566265,0.06827309236947791,0.14457831325301204,1.817837185304753,2.792816346124192,2.792816346124192,0.03429999924264848,11.692100000800565,,,,,,,,,
1,scene0707_00,Random-95%-seed17,900dad1ec84d2072,False,249,128,0.5140562248995983,0.06827309236947791,0.14056224899598393,1.8274298800986446,2.8807751074283736,2.8807751074283736,0.08100000559352338,14.328999997815117,,,,,,,,,
1,scene0707_00,Random-95%-seed29,2e7897f4f9453574,False,249,124,0.4979919678714859,0.060240963855421686,0.12449799196787148,1.835857727528954,2.7834588014298887,2.7834588014298887,0.041799998143687844,13.580099999671802,,,,,,,,,
1,scene0707_00,Random-95%-seed41,23bd1483b8ec8efc,False,249,124,0.4979919678714859,0.0642570281124498,0.13253012048192772,1.7111401906894406,2.790704659749753,2.790704659749753,0.031200004741549492,12.00990000506863,,,,,,,,,
1,scene0707_00,Grid-RR,9b369c52ee9b7f73,False,249,131,0.5261044176706827,0.0642570281124498,0.13253012048192772,1.8231593104382946,2.741406641184767,2.741406641184767,0.18679999629966915,11.26609998755157,,,,,,,,,
1,scene0707_00,4D-ANMS,fce31d2bcac907c8,False,249,126,0.5060240963855421,0.0642570281124498,0.13654618473895583,1.7225047283845267,2.8372689677262874,2.8372689677262874,3.1373999954666942,12.63959999778308,,,,,,,,,
1,scene0707_00,Unconditional Spatial,5aabcc2dc2845ed4,True,249,129,0.5180722891566265,0.06827309236947791,0.14457831325301204,1.817837185304753,2.792816346124192,2.792816346124192,0.23169998894445598,0.0,,,,,,,,,
1,scene0707_00,Single-View Conditional,5aabcc2dc2845ed4,True,249,129,0.5180722891566265,0.06827309236947791,0.14457831325301204,1.817837185304753,2.792816346124192,2.792816346124192,0.21019999985583127,0.0,,,,,,,,,
1,scene0707_00,CSMR,5aabcc2dc2845ed4,True,249,129,0.5180722891566265,0.06827309236947791,0.14457831325301204,1.817837185304753,2.792816346124192,2.792816346124192,0.11500000255182385,0.0,0.95,249,249,0.6319281457432808,0.4375,0.875,0.4375,0.875,0
2,scene0707_00,All,09bcd7e845243ae1,False,137,83,0.6058394160583942,0.0072992700729927005,0.021897810218978103,3.8091097368878777,9.87663099692478,9.87663099692478,0.0,5.524700012756512,,,,,,,,,
2,scene0707_00,Top-95%,e0243bd039235111,False,130,83,0.6384615384615384,0.007692307692307693,0.023076923076923078,4.262161095067793,10.63016599224315,10.63016599224315,0.025899993488565087,4.869299998972565,,,,,,,,,
2,scene0707_00,Random-95%-seed17,7da28eabf06153ee,False,130,79,0.6076923076923076,0.007692307692307693,0.023076923076923078,1.3631170469921525,4.699978607253048,4.699978607253048,0.06639998173341155,5.661799979861826,,,,,,,,,
2,scene0707_00,Random-95%-seed29,7f69f681d64a7777,False,130,81,0.6230769230769231,0.007692307692307693,0.015384615384615385,1.5417243137847763,4.990918975844319,4.990918975844319,0.027600006433203816,5.005800019716844,,,,,,,,,
