index,scene_id,method,matches,inliers,inlier_ratio,epi_precision_1px,epi_precision_3px,rotation_error_deg,translation_error_deg,pose_error_deg,selection_ms,pose_ms
0,scene0707_00,grid_round_robin,306,169,0.5522875816993464,0.45751633986928103,0.8660130718954249,0.32669410629855283,1.3883477011379821,1.3883477011379821,0.4746000049635768,26.55929996399209
0,scene0707_00,anms_4d,306,166,0.5424836601307189,0.4477124183006536,0.869281045751634,0.3315479399322778,1.4269050051404009,1.4269050051404009,4.8133000382222235,32.529300020541996
1,scene0707_00,grid_round_robin,249,131,0.5261044176706827,0.0642570281124498,0.13253012048192772,1.8231593104382946,2.741406641184767,2.741406641184767,0.4341999883763492,21.82989998254925
1,scene0707_00,anms_4d,249,126,0.5060240963855421,0.0642570281124498,0.13654618473895583,1.7225047283845267,2.8372689677262874,2.8372689677262874,3.263499995227903,25.19479999318719
2,scene0707_00,grid_round_robin,130,80,0.6153846153846154,0.0,0.015384615384615385,3.785055742263338,9.797036388145505,9.797036388145505,0.2682000049389899,11.281899991445243
2,scene0707_00,anms_4d,130,80,0.6153846153846154,0.007692307692307693,0.023076923076923078,3.933657269478121,10.053000226346542,10.053000226346542,1.5986000071279705,10.24380000308156
3,scene0707_00,grid_round_robin,242,143,0.5909090909090909,0.16115702479338842,0.6322314049586777,0.6895876578840873,0.5407681851217974,0.6895876578840873,0.26980001712217927,15.614000032655895
3,scene0707_00,anms_4d,242,138,0.5702479338842975,0.17355371900826447,0.628099173553719,0.7467197613907254,0.5507777059559218,0.7467197613907254,3.232099988963455,17.448100028559566
4,scene0707_00,grid_round_robin,294,169,0.5748299319727891,0.1054421768707483,0.47959183673469385,0.7360173187647531,1.3754113620723032,1.3754113620723032,0.3165999660268426,17.287100024987012
4,scene0707_00,anms_4d,294,165,0.5612244897959183,0.11564625850340136,0.4965986394557823,0.7418232665113318,1.5393050767815735,1.5393050767815735,4.130299959797412,19.651699985843152
5,scene0707_00,grid_round_robin,99,40,0.40404040404040403,0.0707070707070707,0.31313131313131315,4.786421310338441,1.647332224070525,4.786421310338441,0.20130001939833164,19.98689997708425
5,scene0707_00,anms_4d,99,36,0.36363636363636365,0.0707070707070707,0.31313131313131315,8.261809078758258,4.346562127111372,8.261809078758258,1.2051999801769853,17.81940000364557
6,scene0707_00,grid_round_robin,220,120,0.5454545454545454,0.022727272727272728,0.15454545454545454,1.5997046756868671,27.2361098746943,27.2361098746943,0.2894999925047159,18.998899962753057
6,scene0707_00,anms_4d,220,117,0.5318181818181819,0.022727272727272728,0.15454545454545454,1.6487692160244882,27.716105521712958,27.716105521712958,3.0003999709151685,21.386599983088672
7,scene0707_00,grid_round_robin,153,99,0.6470588235294118,0.09803921568627451,0.42483660130718953,2.4954884393887893,0.7393091903331526,2.4954884393887893,0.2568000345490873,8.926100039388984
7,scene0707_00,anms_4d,153,104,0.6797385620915033,0.09803921568627451,0.42483660130718953,5.792743853310963,2.0101959048290023,5.792743853310963,2.57789995521307,8.529999991878867
8,scene0707_00,grid_round_robin,181,142,0.7845303867403315,0.1878453038674033,0.7071823204419889,4.944715991905462,4.835003586238639,4.944715991905462,0.2905000001192093,6.271899968851358
8,scene0707_00,anms_4d,181,130,0.7182320441988951,0.19889502762430938,0.7016574585635359,5.920100565957562,5.511489235200217,5.920100565957562,2.8090999694541097,8.211400010623038
9,scene0707_00,grid_round_robin,177,116,0.655367231638418,0.4632768361581921,0.7570621468926554,1.6109662482568943,0.7184313600335216,1.6109662482568943,0.28709997422993183,9.27350000711158
9,scene0707_00,anms_4d,177,111,0.6271186440677966,0.4576271186440678,0.7570621468926554,1.9049482502399093,1.4239788796687896,1.9049482502399093,2.197400026489049,10.312800004612654
