index,scene_id,method,selection_signature,pose_reused,matches,inliers,inlier_ratio,epi_precision_1px,epi_precision_3px,rotation_error_deg,translation_error_deg,pose_error_deg,selection_ms,pose_ms,selector_target_ratio,selector_target_matches,selector_selected_matches,selector_mean_confidence,selector_coverage0,selector_coverage1,selector_selected_coverage0,selector_selected_coverage1,selector_rescued
0,0015_0,All,691f203fb4421ef9,False,632,369,0.5838607594936709,0.569620253164557,0.9414556962025317,0.1928680735070395,1.95921078640635,1.95921078640635,0.0,29.842999996617436,,,,,,,,,
0,0015_0,Top-95%,34becab4351c026e,False,600,355,0.5916666666666667,0.5833333333333334,0.9566666666666667,0.056521297648986564,0.48963962226953833,0.48963962226953833,0.06220000796020031,24.35009999317117,,,,,,,,,
0,0015_0,Random-95%-seed17,0f7a7358a7a8c2c2,False,600,343,0.5716666666666667,0.5683333333333334,0.94,0.23058984395200036,2.1002452021451243,2.1002452021451243,18.190300004789606,25.865300005534664,,,,,,,,,
0,0015_0,Random-95%-seed29,850c2dc8f0f995df,False,600,350,0.5833333333333334,0.5766666666666667,0.9433333333333334,0.2724713532068871,2.6460713973844223,2.6460713973844223,0.07609999738633633,21.523799980059266,,,,,,,,,
0,0015_0,Random-95%-seed41,01a78e2c9a69d083,False,600,347,0.5783333333333334,0.5716666666666667,0.9433333333333334,0.23064088934597976,2.06763074812004,2.06763074812004,0.04919999628327787,21.837700012838468,,,,,,,,,
0,0015_0,Grid-RR,621053fd7b394016,False,600,356,0.5933333333333334,0.5916666666666667,0.9416666666666667,0.05710757155200804,0.5286761965053802,0.5286761965053802,0.37620001239702106,21.7160000174772,,,,,,,,,
0,0015_0,4D-ANMS,f22dc405928577d8,False,600,345,0.575,0.5716666666666667,0.9383333333333334,0.1921705915374776,1.5844560292910133,1.5844560292910133,9.785200003534555,24.854199989931658,,,,,,,,,
0,0015_0,Unconditional Spatial,34becab4351c026e,True,600,355,0.5916666666666667,0.5833333333333334,0.9566666666666667,0.056521297648986564,0.48963962226953833,0.48963962226953833,0.5480000108946115,0.0,,,,,,,,,
0,0015_0,Single-View Conditional,34becab4351c026e,True,600,355,0.5916666666666667,0.5833333333333334,0.9566666666666667,0.056521297648986564,0.48963962226953833,0.48963962226953833,12.036200001602992,0.0,,,,,,,,,
0,0015_0,CSMR,34becab4351c026e,True,600,355,0.5916666666666667,0.5833333333333334,0.9566666666666667,0.056521297648986564,0.48963962226953833,0.48963962226953833,0.3907000063918531,0.0,0.95,600,600,0.8483609677162729,0.875,0.8125,0.875,0.8125,0
1,0015_0,All,3d90dcecd686d6fe,False,487,230,0.4722792607802875,0.44969199178644764,0.9034907597535934,2.0187269691836334,5.325822140443666,5.325822140443666,0.0,17.723800003295764,,,,,,,,,
1,0015_0,Top-95%,1860f6c0ac300be2,False,463,226,0.48812095032397407,0.45788336933045354,0.9136069114470843,2.806775092947875,7.223303824158487,7.223303824158487,0.03940000897273421,17.626299988478422,,,,,,,,,
