index,scene_id,method,matches,inliers,inlier_ratio,epi_precision_1px,epi_precision_3px,rotation_error_deg,translation_error_deg,pose_error_deg,selection_ms,pose_ms
25,0015_0,anms_4d,419,280,0.6682577565632458,0.6420047732696897,0.9403341288782816,0.6743402447641349,3.9590968046885275,3.9590968046885275,6.391100003384054,13.366400031372905
26,0015_0,grid_round_robin,777,502,0.646074646074646,0.6447876447876448,0.9459459459459459,0.18461759283394985,0.7246522347977437,0.7246522347977437,0.5732999998144805,36.470299994107336
26,0015_0,anms_4d,777,492,0.6332046332046332,0.6306306306306306,0.9395109395109396,0.2569991381626081,0.9679118085636751,0.9679118085636751,14.616600004956126,33.701199979986995
27,0015_0,grid_round_robin,231,123,0.5324675324675324,0.47186147186147187,0.9264069264069265,0.2698095626167239,1.4439840693209192,1.4439840693209192,0.2536000101827085,29.656400030944496
27,0015_0,anms_4d,231,124,0.5367965367965368,0.47186147186147187,0.9264069264069265,0.3831872931941689,1.7973405661431152,1.7973405661431152,3.4968999680131674,23.180300020612776
28,0015_0,grid_round_robin,516,281,0.5445736434108527,0.4883720930232558,0.9127906976744186,2.6242877454561184,4.4938609922382975,4.4938609922382975,0.4681999562308192,36.79430001648143
28,0015_0,anms_4d,516,268,0.5193798449612403,0.4748062015503876,0.9011627906976745,3.346951825457968,5.516470121547113,5.516470121547113,8.727500040549785,43.91269996995106
29,0015_0,grid_round_robin,497,237,0.4768611670020121,0.32595573440643866,0.772635814889336,1.6232881443963936,4.1524675105053275,4.1524675105053275,0.4442999488674104,55.649999994784594
29,0015_0,anms_4d,497,218,0.4386317907444668,0.323943661971831,0.7665995975855131,0.7425431171369764,2.0410113488061556,2.0410113488061556,7.910599990282208,45.16380000859499
30,0015_0,grid_round_robin,914,561,0.6137855579868708,0.6137855579868708,0.9606126914660832,0.12158873353188537,1.9918806672786162,1.9918806672786162,0.8328999974764884,50.10089999996126
30,0015_0,anms_4d,914,547,0.5984682713347921,0.6028446389496718,0.9529540481400438,0.12417326170407904,2.0805395987933366,2.0805395987933366,19.547200005035847,45.3163999482058
31,0015_0,grid_round_robin,195,130,0.6666666666666666,0.5794871794871795,0.9846153846153847,0.382388334019929,0.4391613217356124,0.4391613217356124,0.24209998082369566,11.498400010168552
31,0015_0,anms_4d,195,126,0.6461538461538462,0.5846153846153846,0.9794871794871794,0.39656185873271044,0.5057515772607898,0.5057515772607898,2.7276999899186194,12.028600031044334
32,0015_0,grid_round_robin,392,269,0.6862244897959183,0.6607142857142857,0.9642857142857143,0.5223670195036464,0.7944291681133054,0.7944291681133054,0.38809998659417033,14.085799979511648
32,0015_0,anms_4d,392,264,0.673469387755102,0.6403061224489796,0.9693877551020408,0.5767467867221215,0.8609205615977434,0.8609205615977434,6.436399999074638,14.403600012883544
33,0015_0,grid_round_robin,527,355,0.6736242884250474,0.6072106261859582,0.9620493358633776,0.29529857203528004,1.2468309199150294,1.2468309199150294,0.4716000403277576,22.1607000567019
33,0015_0,anms_4d,527,343,0.650853889943074,0.5939278937381404,0.952561669829222,0.6412624366236408,4.144214068574802,4.144214068574802,8.828699996229261,31.96719998959452
34,0015_0,grid_round_robin,857,623,0.7269544924154026,0.676779463243874,0.9568261376896149,0.8845956744189564,2.4280555234848156,2.4280555234848156,0.673400005325675,20.819799974560738
34,0015_0,anms_4d,857,626,0.7304550758459744,0.6721120186697783,0.9556592765460911,0.8916801924789124,2.447199904189432,2.447199904189432,17.648600041866302,15.606500033754855
35,0015_0,grid_round_robin,242,108,0.4462809917355372,0.5371900826446281,0.9462809917355371,0.24855911866681804,0.7995209810279419,0.7995209810279419,0.2586999908089638,24.759799998719245
35,0015_0,anms_4d,242,114,0.47107438016528924,0.5371900826446281,0.9338842975206612,0.03921353569308159,0.14508033872536863,0.14508033872536863,3.7425000336952507,25.880300032440573
36,0015_0,grid_round_robin,1008,746,0.7400793650793651,0.6537698412698413,0.9583333333333334,1.190001988482144,2.1447876951536835,2.1447876951536835,1.0170000023208559,45.77580001205206
36,0015_0,anms_4d,1008,735,0.7291666666666666,0.6378968253968254,0.9484126984126984,0.3309877639006706,0.5934264953884524,0.5934264953884524,21.011399978306144,32.05939999315888
37,0015_0,grid_round_robin,580,428,0.7379310344827587,0.7172413793103448,0.9655172413793104,0.4267363150028559,1.430673423104885,1.430673423104885,0.5104999872855842,16.17479999549687
37,0015_0,anms_4d,580,422,0.7275862068965517,0.7068965517241379,0.9620689655172414,0.49237062656579184,1.7106656149418669,1.7106656149418669,10.151800001040101,20.344700023997575
38,0015_0,grid_round_robin,755,475,0.6291390728476821,0.6026490066225165,0.9589403973509933,0.34660249566767726,0.999782122445148,0.999782122445148,0.6123000057414174,54.520900011993945
38,0015_0,anms_4d,755,452,0.5986754966887418,0.5960264900662252,0.952317880794702,0.7798442206280201,2.2717090363490096,2.2717090363490096,14.405300025828183,43.91129995929077
39,0015_0,grid_round_robin,650,360,0.5538461538461539,0.536923076923077,0.9323076923076923,0.16397974916206975,0.24541912151927345,0.24541912151927345,0.5849999724887311,32.78690000297502
39,0015_0,anms_4d,650,350,0.5384615384615384,0.5246153846153846,0.916923076923077,0.15657006174759514,0.24519964835521985,0.24519964835521985,11.79949997458607,40.93269997974858
40,0015_0,grid_round_robin,662,489,0.7386706948640483,0.7235649546827795,0.9486404833836858,0.10534378317234697,0.41140028636309506,0.41140028636309506,0.5378999630920589,17.578900035005063
40,0015_0,anms_4d,662,481,0.7265861027190332,0.7145015105740181,0.947129909365559,0.3467791185150849,1.215206851090389,1.215206851090389,12.001399998553097,26.601099991239607
41,0015_0,grid_round_robin,678,460,0.6784660766961652,0.6858407079646017,0.9970501474926253,0.8322706262450628,2.020677501985557,2.020677501985557,0.5963000003248453,17.936900025233626
41,0015_0,anms_4d,678,455,0.6710914454277286,0.6784660766961652,0.995575221238938,0.6914208608020499,1.7090855273678502,1.7090855273678502,11.939499992877245,20.636499975807965
42,0015_0,grid_round_robin,712,503,0.7064606741573034,0.6825842696629213,0.9592696629213483,0.13934550776756527,0.3608720342823153,0.3608720342823153,0.6342999986372888,24.18140001827851
42,0015_0,anms_4d,712,502,0.7050561797752809,0.6825842696629213,0.9592696629213483,0.3184996096217904,0.8959520798836159,0.8959520798836159,12.869399972259998,30.249600007664412
43,0015_0,grid_round_robin,497,321,0.6458752515090543,0.6257545271629779,0.9738430583501007,0.19956868823613505,1.9326663653383171,1.9326663653383171,0.5005000275559723,23.82999996189028
43,0015_0,anms_4d,497,325,0.6539235412474849,0.613682092555332,0.9637826961770624,0.28315046890408846,2.481301532617542,2.481301532617542,7.902699988335371,19.325500004924834
44,0015_0,grid_round_robin,542,374,0.6900369003690037,0.6494464944649446,0.9575645756457565,0.30496302324755403,0.7619260095134256,0.7619260095134256,0.4608000162988901,18.533100024797022
44,0015_0,anms_4d,542,371,0.6845018450184502,0.6439114391143912,0.9520295202952029,0.287295976033006,0.7147130925563508,0.7147130925563508,9.68369998736307,21.18559996597469
45,0015_0,grid_round_robin,785,448,0.5707006369426751,0.5375796178343949,0.913375796178344,0.3664961016590695,5.306920447111044,5.306920447111044,0.6260999944061041,37.430500029586256
